英語,日本語
there is no such thing as a curse in this world!,持っているだけで人を不幸にする呪われた本などというものは存在しないのです
"i'm sorry, but i have to ask.",悪いと思うけど 聞かなきゃいけないの
any good things to you about this.,お前たちを英雄にしたりはしない
now! throw out all the seal tickets!,今だ!ありったけの封印札を 投げつけろ!
and we are paying a cost.,その結果犠牲を払うことになります
i was given an education,教育を受け
i'm starting to feel stupid for agonizing over it.,何か 悩むんが アホらしゅうなって来たわ。
"with furcifer gone, i can put a cloaking spell on her.",俺が隠している魔法を かけることもできる
"this way, please!",帰れ! やだね。
and to the gymnosophist.,裸行者に戻ります
get out!,退散しろ!
"yeah, he wrote one.",初回に プロフィルn書かされませんでした?
"that's the expectation from demographers, going forward.",今後もこの状況は続くと人口統計学者は予想しています
you did the right thing.,良くやってくれた
he's on the run.,逃走中です
no way! seriously?!,まさかの赤ペン先生!
"no, you can't!",う... うん
"yes, sir. listen.",蛭間病院長に聞きなさい!
must have been a really great man.,ほんまの 豪傑じゃったんじゃろうねぇ。
"warehouse? ah, it's alright. really.",倉庫って。 あっ。 大丈夫。 うん。
"but if you show your face here again, i will cut you the fuck in half!",もう一度現れたら 顔を吹っ飛ばす
i got coffee.,コーヒーと
in this mansion?,何だ あれ。 あの屋敷。
the town that the bomb forgot.,忘れられた町・・・
"you got finals, your nyu application is due in what, two weeks?",nyu申請は2週間後だ
the engines have stopped.,エンジンが止まった
so i wrote a computer program a bunch of years ago,そこで何年も前にわたしはtreemakerというプログラムを書き
i want to talk to the 58 patients down here,私はこの58人の患者の話が聞いてみたい―
i'm better than ok.,それ以上にいいぜ
"here. hey, pretty stylish.",はい え~ッ オシャレ~
and anyone who can't give me those two things has no place in my life.,僕はその2つを僕に与えられない人に用はない」
she got a girlfriend who came at a girlfriend's place,彼女 わいは彼女ばおる身でこげん所挨拶に来よっとか
do not act alone.,まっすぐ自分の言葉は曲げねえ。
i have no idea who you are.,あなたの事は 見当もつかない
"ah, yoshikiyo! why?",あっ 義清ではないか。 何故?
"that anybody can edit anything, at any time",誰でも いつでも 何でも編集できるようにしたら
you and,お前も
what if that was a message from erica?,エリカからだったら? なぜ受け取らなかった?
which are the two primary factors,この2つは戦争のきっかけです
the unconscious mind does most of the work.,導いているということです
seems like he was a good man.,良い人だったらしいね
"emma, run!",エマ、走れ!
the rate of death is declining.,死亡率が低下している
"anything i can do, sir?",私は何をすれば?
they look after the engineers working on the darn.,彼らは送水口で働いているの技術者を 守ってる
i don't want my teeth pulled!,いやだ~~ 歯を抜くのはいやだ~~
the mountains of the gods.,山の神々
it is this zeele schneider that embodied it most strongly.,それを 最も強く具現化したのが この ゼーレシュナイダーだ。
see if you can clean him up a little.,象でもとるのか?
she couldn't stick that four months ago.,4カ月前には まだ出来なかったんですよ
know it well kanji drill,えッ? あの... 漢字ドリルじゃ
"i realized that not one, not one of us",しかし私は そこにいた誰一人 同様の危機に対処した
get to the car!,車に行くんだ
a method to raise the delicious melons.,美味しいメロンの育て方
do me a favor and get in the trunk yourself.,自分で トランクに入ってくれ
"really, of course the famous book dracula",ダブリン北部出身の ブラム・ストーカーが書いた
i'm the same way.,俺もだ
she dove in.?,どうなった? 川に飛び込んだ
how did you get naked? what is that!,裸は どうやった? 何なんすか それは!
i don't think so.,そうは思わないわ
probably at my parents'.,多分両親のところ
"the parents of the three young women raped by brent garvey, for example.",例えば ブレント・ガーヴィーに レイプされた 3人の少女の両親のようにね
"on the back of cereal boxes, board games. any place you use ink",シリアルの箱の裏面、ボードゲームなど インクを使うあらゆるもので
"no, but ms. thompson will.",いいえ でも トンプソンさんは多分知ってる
"well, turk did the republic arrive with my spice?",ターク、共和国はスパイスを持って来た?
say that and move forward.,先に進みたいんです
"husehld f my peples, bth at hme and verseas.",国内の あー 人々
i cannot be a swindler unless i can read people's mind.,人の心を読めなきゃ 詐欺師は務まりませんからね
she spent 15 years with the u.n.,国連での15年間は
he didn't tell you?,聞いてないの?
i've heard that too.,同じ意見
why not leave him alone?,ひとり
i am.,はl、
i see.,あぁぁ分かりました
i think she should have been with that man.,姉は その人と一緒に なるべきだったと思ってしまう
"it is now anybody with access to a $1,500 computer",1500ドルのコンピュータを使うことさえできれば、
now then... what should i do?,これは 今のうちに ちゃんと お仕置きしとかんと...。
"hey, shin'ichi...!",≪ねぇ ボウヤ≫ えっ...。
we have something stronger than the five senses,オレたちには五感を超えた 心の目がある!
they used that to get back on another boat.,船外モーターを使って 別のボートで岸に戻ったんでしょう
it's a sonata.,ソナタです。
walter's full of surprises today.,今日一番の驚きだな
leave it to me!,料理? あっ この料理なら任せなさい。
and i'll show you that in real time now,それをリアルタイムで ご覧に入れますが
you ever hear of avoidance behavior?,回避行動の話は聞いたか?
our entire lives revolve around aoi.,生活のすべてが 葵中心にまわってる。
"hey, let's go.",行くぞ
and perhaps saved nike.,ナイキを救ったのです
"ready, barry? over the top.",dh: 準備はいい バリー bf: 頭の上だな
"according to his brother, eugene was a very bright man.",ユージーンは とても聡明な男だった
where did you find that?,どこで見つけた?
the question is why?,でもなぜ貴方と パーカーを容疑者に?
instinct.,本能。
"well, there's always something we can do.",何とかなる
a fast talker.,おしゃべり
"michika, we're not talking about that now.",美知香 今 そんな話してない
ok. mount!,はい。 乗った。
"yes, please. thank you.",お願いします
i have a gift.,そういう力がある
i decided to join the ngo,ngoで働くことにしました
i'm getting there.,まあな
"that's right. so, you can either walk out of here...",その通り ここから歩いて出て行くか
i want to go play outside too.,私もお外で遊びたい
i chilled.,怒りを制御した
i will do it.,真面目にやれ
hello.,ちわ。 こんにちは。
"with various equipment, cameras and microphones",ヘルメットを着けてもらいました
great person.,素晴らしい人です
our pilot.,パイロットだ
are the people ready to proceed?,進行できますか?
my father told me a story,父が 18 世紀の時計職人の
i wonder what we are using our sword for .,何のために 太刀を振るってるのか...。
i think it gives you one.,もう1度チャンスをくれると思う
whwhat is this?!,これは...!
for visitors and humans.,ビジターと人類の
that can't be right.,そんな筈は...
cut it out. i want to stay here.,くくっ...。 う... うう...。
but i can't do that.,でもそれはできない
killing crows in their castle is tough.,城の中のカラスを殺すのは大変だが
"you, this dimwit!",この、ノロマめ!
"can't be, huh?",う~ん
"alright, good.",よし いい
what the hell is going on?,一体どうなってる?
it's my happy place.,そこは幸せな場所
look what you've done.,やだ やだ やだ。 やだ やだ。 待て~!
something radically different.,全く違う雰囲気で奏でる事によって
"all my months of planning, every move i've made.",何ヶ月もの画策や行動が
rita.,リタ
"now, i have to do this, the rest of the thing, like this.",どうにか後始末をしなきゃいけません
look. isabel kronenberger is showing here on saturday.,見てイサベルは目立つここで土曜日に
that she asked the man kurosawa to do this.,それを 自分が 黒沢って男に頼んで
i think we're done here.,じゃ 解いて
fellow delegates.,代表のみなさん
"again, relaxed?",リラックスしてください
you promise me you're coming back!,きっと戻るって
"i mean, i hope so.","1. アイ・コンタクト ""2."
"look. if i had a penis, i'd try it.",ペニスがあったら 私なら試す
all this is the cemetery.,ここは墓場だな
"no, i'm not. it was a prank, dale.",言ったな!
"our target audience, it's not just the producers of terrorism",それはテロの生産者
i didn't know what to do.,私が何をすべきかを知りませんでした。
what? what's okay?,はあ? 何が負け惜しみよ
"even when i change my clothes, i have to blindfold myself!",着替えするのだって
here...,こいつは まいったね。
i'm the one who was totally in the wrong.,悪かったのは 全部 こっちなんだし。
i don't need this shit.,何て事だ!
i i wonder...,捕まえたよ。 ほーら。 ウホホホホホホ...。
"but we have padding, and fantastic shockabsorbing things like sorbothane",しかしパッドや ソルボセインのような 素晴らしい衝撃吸収材のおかげで
"hey, doctor..",ねえ先生
still has much primitive wildlife due to its complex geography and harsh natural environment that are unsuitable for living in.,由于地形复杂 自然环境恶劣 人迹罕至
what did i tell you about knocking?,ノックについて なんて言ったかしら?
he is mariya kyosuke.,真里谷恭介。
and the sketch miyukisan drew.,それから 美由紀さんが描いた似顔絵も。
that's actually probably the most important thing to anyone who's religious,おそらく最も重要な
go on.,先へすすむための
"well, at least you didn't say i was agent 46.",エージェント46なんて 言わないでね
they got an alien k9 unit we're not aware of?,エイリアンも警察犬を? 知らなかったわ
"okay, message received, young fella. you won't get no pushback from me.",手間取らせたりはしませんよ。
in this prison,牢獄ね...。
no. ground it.,奴を逃がすな
you think?,ああ そう?
"forgive me, monsieur gustave. i never meant to betray you.",許してくれ、ムッシュー・グスタフ 決して裏切るつもりは無かった
we also have been serving you with our bones broken,我らも骨折って ご奉公したかいが あったというものにございます。
transformative act.,示唆しています
"blow something up, take someone out.",何かを吹き飛ばして 誰かを連れ出す
"and so, on the left, we were seeing 100,000 polygons.",左側では10万ものポリゴンが見えました
everything in my room was shaking,部屋のあらゆるものが揺れていました
now what... what is that noise?,何だ? あの音は?
still a great night under the stars.,素晴らしい夜だ 星の下で
"eden, i need a med unit at the 49th junction.",エデン第49ジャンクションに医学班を
you knew that already.,あなたはもうわかってるだろ。
and are responsible for much of whats gone on on our planet.,この惑星で起こる様々な物事の原因となっていました
perhaps if you had your husband call me.,. ご主人に電話を頂ければ
i've become rather concerned about,インドに対する過大評価である
"fuck, come on.",クソ
increasing evidence is that being bilingual,バイリンガルは認知能力に よい影響があるという ―
bigg bunny is never gonna find the aurelia without me.,俺が いなきゃ 宝は見つけられない
hey third generation is serious at that age.,おい 三代目様だって 大変なんだぞ あのお歳で。
"i worked really, really hard to distribute it everywhere in brazil.",本当に一生懸命になって ブラジル中で売ろうとしました
never a dull moment with you guys.,いつも退屈しないな
now the problem with this model of censorship,webサイトを特定して
"come on, people, let's get to it",♪ みんなで歌おうぜ
give me the phone.,電話貸せ 電話
don't what me!,頼む! オレを鍛えてくれ!
i special summon fallen cone!,特殊召喚!
i'm tired. later.,疲れた また後でね
he's unexpectedly serious.,あれで 案外 本気だったんだよ。
and the bank where elaine works.,それに銀行は イレインの勤務先だ
krull the warrior king.,クルール 戦士王クルール
tbl: can you say now?,ティム: 「今すぐに!」
can you stop 'em from harming him?,でも守ってやってほしいの
she's very beautiful.,きれいな人ね
"excuse me, excuse me.",おかまいなく
when you arrived at the golf course.,連絡しようと 思ってたんですけどね。
oh we meet two days in a row.,昨日の今日で また会うとはね。
"is it a bird, is it a plane?",空中では鳥や飛行機のように
to fund the whole thing,運営権を得ることにしたら どうでしょう
i need to disappear.,俺は姿を消さないと
"cut the chatter, ahsoka.",これは難しいくなるね アソーカ静にして
"detonation in 2 minutes, 30 seconds, mark.",爆発まで2分30秒
being fresh like the fresh prince,フレッシュ・プリンスのように勝手気まま
do you know my sister? yes.,姉をご存じなんですか? ええ
did the marriage meeting actually go well? it did.,うまくいったんですか? そうなんだよ
adam galloway's coming down from new york.,アダムが来る
set of stomach organs,胃でろ過して
"that this is a problem, but we've had to suffer fake fixes.",これが問題だとわかってなお 偽りの対策でごまかされていることです
"i'm taking care of her, not you.",俺が彼女の世話をしてる あなたじゃなく
until you're able to recognize me clearly.,そなたが わたしを しっかと 認識できるようになるまでだ。
"gunpowder, treason and plot!",火薬 反逆罪と陰謀
i would like to grant it if it is mr. mikage's wishes,それがミカゲさんの望みなら 私は叶えてあげたいと思う
but why won't he say anything when he almost messed up the important event?,大切なイベントをめちゃくちゃにしかけたのになぜ何も言わないんだ?
here's something good.,いいものがあるぞ
"indeed, if shiranami returns to the village, we could...",それができたなら きっと俺たちは... 仲間だ。
i can not imagine myself like that i guess i am accustomed to one person,そういう自分が想像できない ず~っと一人に慣れてるからかな
please let me eat it.,よろしく伝えといてください
the first is cyanobacteria.,まずは海や淡水湖に住む藍藻類でした
"my new idea is we could go a little bit out of the way and spend the night in vegas and still break the trip up, for the most part, but also have, like, one more day of...",違う道を通って ベガスに行くか こっちでも大丈夫
there's plot holes.,話に矛盾が
they want to know how much exercise your dog is getting.,運動量を知りたいでしょうし
probably not. probably.,たぶんそれはない
"thank you, everyone.",ありがとねー
that's good.,顔色も いいですし。
"the project's completed, right?",あの計画は 完成してたんだ
brought it to s.h.i.e.l.d.'s attention.,それで「S. H. I.
i really don't know.,知らないわ、本当に知らないの
chuck.,チャック
but maybe caputo will let you make a call later.,でもカプートに頼めばかけさせてくれるよ
"not on my watch, pal.",「どうなるか覚悟しろよ」
why would he do that?,なぜ彼が あんなマネを?
what! what!,うわあ! あっ...
thirtytwo.,32
where's the boy... the one that lives here?,ここに住んでた少年は?
you do...,はいできた
"everybody, hold on for one minute.",待ってくれ
we were farmers and they slaughtered us.,俺達は農民なのに殺した
i want to get to the truth of this.,間違いないんです。
this was actually just taken last year.,実はこの写真は去年のものです
"well, then you'll just have to finish what anne marie started.",君がアンヌ・マリーがやった罪を 終わらせてくれ
"but still gayla went on, and finally she succeeded",それでもゲイラはあきらめず とうとう ―
i can't move right now because i'm doing something really important.,今すごく大事な会議中で動けないの
we'll never make it under an hour.,1時間未満では間に合わない
it's 7cfi06x.,7cfi06xよ
"where you work, where you play.",どこで働き どこで遊んでいるかも
"what? just don't follow me around all night, okay?",俺に付いてくるなよ
"do you realise, you got laid of because of restructuring just like your father?",親子二代にわたって リストラされちゃってんだよね。
then anna gets her hands on a message that means nothing to her.,アンナには知らせない 真っ先にアンナに届けたら?
now my handkerchief too,もう! ハンカチも...。
well?,し... 失礼
"alec, i've got prints with no id.",アレク 不明な指紋があるわ
"is that, because they're mainly looking",利用者が何を最初に
the thing about perfection is that it's unknowable.,完璧かどうかは 我々が決めることじゃない
onetoamillion costbenefit ratio.,そこから百万倍の幸福を得ることはできない
where's the bomb?,爆弾はどこだ?
"agent dunham, take a look at this.",ダンハム捜査官これを
you know how the puzzle works. get us out!,あなたはパズルの仕組みがわかるのよね 私達をここから出して
where did you find him?,どこで見つけた?
"thanks, smokey.",ありがとう スモーキー
than what people pay now,小さな魚を捕まえるために
"however, even so...",でも それでも
"hey, timmy, did you know jack who worked here? mmhmm. what can you tell me about him?",ティミー ここで働いてた ジャックは知ってるか? 彼について話せる事は?
they said she has our patient registration card.,受け入れなんて 無理だ。 それが うちの診察券を➡
my injury is my fault. i'm not so weak that i have to be protected by you!,調子にのるなよ! 自分のケガは 自分のミスだ!
"attaboy, tom. you're active!",元気だな おいトム!
that's my son. bobby pena.,あれは私の息子の ボビー・ペナです
"yes, i was told about that.",ああ、そのことは聞いた
gate opening!,開門! はぁ!? 門が開きはじめた。
"wow, todd's money seems to be funding our investigation.",この研究所に提供してる 資金は役に立ってるわ
you know anything ? can you help me ?,ほかに何か知ってる?
"that's not possible, if that is the case",それはないですよ だったら無理心中事件に
of women and men,男女間に違いがあることが
you know that it is your heart.,ここが心臓
i can't disclose patient information.,患者の情報は漏らせないの
"saoirse, get down.",シアーシャ、 伏せろ。
"we stroll out, slow and steady. just like we belong.",ゆっくり前へ進んでいく.
isn't there a better way?,ちょっと 他に何かないの?いい方法
"and meanwhile, we'll take our little threemonthold baby",そして 私たちの3ヶ月のかわいい車も
am i remembering...,僕は レベル2の アーミーモスキート ブラッド・フォース3体で
"ok. it's not looking great, but we will get through this, lissa, we always do.",この状況は不利だわ
can you find a unifying language that cuts across age,年齢 収入 文化の垣根を越えて 人々を結びつける
would you please tell ?,だったら 言っていい?
what's real and what's an advertisement.,どれが広告なのか 見分けにくいことも多いですから
shared housing.,家を共有しているのに 近い感じ
"it was built, and they came.",「なせばなる」って
she could hurt somebody.,殺してしまうぞ
"well, because i just wanna leave my family a message real quick. if i could.",家族に別れのメッセージを残したいの
it would scare him straight.,怖がらせて 立ち直らせようとしたの
i understand that and i totally respect you.,リスペクトは理解している
"i'm sorry, it's just...",フェリシティ ごめんなさい ただ...
ashes to ashes...,灰から灰に
"look, i'm sorry if i made you angry.",なあ 怒らせたなら謝る
to a new age of symbiosis between our bodies,私たちの身体、我々が育てる微生物 製品そして建築物までもが
this is my resolve!,これが俺の覚悟だ!
the only problem with that scenario,病気のことは分かってる クレア
he has to live.,クリス・ホーキンスがここに住んでますね
what the ipod is to the 8track,ipodに対する8トラックであり
i'm serious.,いや~.
video games.,ビデオゲームだよ
congratulations to all of you.,皆さん おめでとうございます。
google the word 'israel.',「『イスラエル』って検索してみてよ」
how did you find them?,どうやって?
"i'm transfusing, but i would like to see a professional doctor",輸血をしてるんだ でも専門の医師に診せたい
"so this makes her the class representative, huh?",これで あいつがクラス代表か
i'm going to see to it that not a,藍染に聞いてみないことには。
we can take decisive steps to preserve our democratic institutions,このリスクを理解していれば 民主主義制度を守るための断固たる措置を取れます
somebody's circumcised. okay. listen.,とにかく 週末出勤してでも 月曜までに仕事を片付けろ
must've encountered various failures and tough times too.,いろいろな失敗や苦労が あったはずです。
i've already met four people,既に4人会ったわ
"yeah, that's pretty good. can you put some rocks in it?",ああ うまいな 氷を入れてくれないか?
please give me your hand.,手 出してください。
"i mean, don't you remember your birthday party when you were a little girl?",子どもの頃の誕生日会を 覚えてるだろ
"you know, patrick, there's a childish hopefulness about you that is really quite adorable.",ねぇ パトリック あなたって 子供っぽい希望を 持っているのね 本当に すごく可愛いわ
"is as transient, as fleeting and as temporary",過去の どのあなたとも同じように
takes him to a place... where he either makes excuses within his mind to be unaffected...,何とかして... 心が動じないよう 弁解を考える...
well maybe i'll sell it.,Moは枦诵販売しております。
you know why.,理由は分かってるだろ
"now, i'd like to begin the moe moe rockpaperscissors tournament election.",これより 萌え萌えじゃんけん大会総選挙
you are in control.,間違いなく あなたのせいなのよ
how is it?,但怎样都降不下来
there you go again. you make terrible jokes!,またまた。 冗談きついですよ。
designers talk about the relationship between form,デザイナーは形式と内容の 関係に注目します
you're dead!,逃げろ クロッ!
can we find out more about the lawyer?,この弁護士について何か判らないか?
"actually, i... really like the witch this time.",中の魔女が出てくるまでにはまだ時間があるけど
if we move before we know what tomas is up to,私達がトマスが何をしてるか 分かる前に動くなら
"today, 35 percent of americans",今日 アメリカ人の35%が
once more unto the fucking khazi.,もう一度トイレだ
level c.,レベルc
she was just exhausted.,疲れ切っていたのか
don't you find it curious?,興味深くない?
"if you text us, i want to die, or i want to kill myself",「死にたい」や「自殺したい」 とメッセージを送れば
the waterworks were... ridiculous.,涙なんか流しちゃって あほらしかった
he did appear.,明日 間違いなく ゴルゴはそこに現れる
"as we say in trinidad and tobago, who is who and what is what?",「誰が何をしたのか」をです
"she has a laceration on her leg, but other than that, she's fine.",足の裂傷だが 他にケガは無い
"god, honestly, i feel like i could clean up all day.",なんてこった
brains.,脳切開は任せてくれ
our only link is you.,唯一の繋がりはあなた
we've got files on shell corporations,幽霊会社から 押収した書類に
silence is in some way heroic?,沈黙が誰かのためになると?
"i mean, what do you do to two kids whose dad...",どうすべきだったんだろう
"don't waste your breath, warren.",ウォーレン、邪魔はするな
floating islands.,「浮遊島」
simone taylor you ruined their lives today.,サイモン・テイラー -- あなたは今日 彼らの人生を滅ぼした
"those men outside are my trusted employees, and when i learned what you intended to do...",外にいるのは 私の信頼する部下だ お前のたくらみを 知ったとき...
i got a perfect fit.,完全にフィットします
i get it.,あえて 突っ込んでいったんだ。
"all right, nicholas. second question.",良し ニコラス 2番目の質問
what is it?,計算があうのかな なんて アハハハハ。
because old and ancient as it may be,その理由は 古いかもしれませんが
"it's a very expensive hotel, okay ?",高い部屋をとったんだ
then what should we do?,じゃあ どうすりゃいいんだよ?
i don't remember ever using it...,使った記憶がござんせん。 どんな呪文なんですか?
this is boston dynamics' bigdog.,これはボストン ダイナミック のBigDogです
and indicated the identifications they had made,写真を指差して
want to test your marriage for weak spots?,結婚の弱点を試したい?
wow! these are the bodies jetfire was talking about.,ジェットファイヤーが言ってた亡骸?
my brother is in town with james.,俺の兄弟はジェームスと街にいるはずだよ
"go with her, please.",言う通りにしてください
with certain ignoble motives,生まれたとしても それが劣った行動に
i've heard the stories from those who escaped.,逃げ延びたもの達から話を聞いた
i broke that streak.,なごませたくて
way to cut up xxx insecto.,xxxのinsectoを削減する方法。
"and not at all ashamed to admit it. you'll be fine, cage.",別に恥ずかしくないさ
"chief of the watch, man battle stations!",総員戦闘配備!
i'm a lousy cook.,私は、お粗末な料理だ。
"well, you know how it is.",だが 断る
except for if you're sitting next to someone.,隣り合って座るときは別ですが
felt pretty built up.,もうすでに出来上がっていた気がします
he's on his way.,今向かってる
"not bad, kid.",やるな ぼーや
"in terms of roads and telecommunications, but also because",道路や電話回線などの インフラが無いためではなく
charley's dead.,チャーリーは死んだ
the time of destiny!,運命の時が!
"and i said, well, i've taught graduate",私は「教えていますよ
runner appears to be an ordinary citizen.,ランナーは 一般人のもようです。
please tell me where joon pyo is.,ジュンピョの居場所を教えてください
was at the health department.,公衆衛生部門だった
people bend and stuff their bodies into their own boxes.,人は体を折り曲げて 自分の箱に入るんだ
and then put it into these spectrometers,その泥を分光計にかけると
"all right, let's go, here, man;",精神異常犯罪者のための...
"now, ii can't control your device from my phone, but our target had an actual router.",この電話じゃ無理だが ターゲットには ルーターがあった
zombie movies really have similar names.,ゾンビ映画って 似たような名前ばっかだなあ
"for now, mother nature takes priority.",今は、こっちが先よ
you have to emphasize that point.,そこを強調しないと。 はい。
"no matter what you may say, i cannot do it.",外していいか?
don't lie to me. how can you not have problems.,嘘つくな お前。 んなことは ねえだろ。
"kimoto, are you okay?!",≪木元さん! 大丈夫? ≪木元さんッ
you need me.,私が必要なんです
how many patients have you killed?,今まで何人の人を殺した?
a touch of senility.,もうろくしたかな
it evidently has certain hallucinogenic properties,ある幻覚誘発剤を含んでいるそうなのです。
i could buy some... if you could perhaps... be a little kinder.,受け入れられる、もし・・・ お前がもう少し・・・ 優しくなってくれたら。
"as if in losing everything, i finally understand.",最終的に 何もかも失うと理解してます
i've heard it a hundred times today.,学校でウワサになっててさ 今日 百回は聞かれたよ。
damn.,くそっ
"look, ii don't know what they did to you at that insurance job, but it made you sour, and women do not like sour.",ねえ 彼らが何をしたか知らない 保険業務で だが あなたは気難しい
i'm sorry. just i'm so worried.,すまない ただ...
"yes, correct.",いいぞ その通りだ
"yes. oh, my god. are you serious?",そう 君は あー 「ジェスは頑張り屋 -
call for help and you'll live.,助けを呼べば生きられる
so with h1n1,H1N1のケースでは
we'll be right back.,すぐ戻ります
"'but when i look back from a distance, 'the house is like a boat on the sea.'",それが海上の船に見える
negative on the four sentries.,4人の衛兵はいない
the destruction of their selves,彼らは想像もできないやり方で
you're always welcome.,歓迎するから
you put a police officer in the hospital.,あんた達は警官を 病院送りにしたのよ
what'sherface talked to the caretaker 'bout it.,そいつが管理人に話をつけてくれたんだ
we could hang some more tin cans.,もっと警報用の缶を 仕掛けることが出来た
what's happening?,何が起きてるの?
what's in front of you...,たまには ルコン街の ばあちゃんのとこにも
"once intubated, that baby is just waiting for death.",後は 死ぬの ただ 待つだけだもんな》
we're also developing the regulatory infrastructure and legal framework,市場の仕組み全体が作用するための
"bye, guys.",それじゃ。
you give me a call?,俺に電話する?
"my point is, i think we should get unstuck",私が言いたいのは 人々のニーズに応えるには
i heard about karen don't.,カレンのことは聞いた・・・ - もういい
there is no need to remake it.,曲は完璧なんだよ。 作り直す必要なんかねえよ。
including you.,あなたも含めてね
this place has nothing to do with hope.,ここには希望がないのよ
but these boiled brains of nineteen and twoandtwenty,19や22の煮え立つ脳以外に
when people say things like that.,そういう言葉は すぐには 信じないようにしているのです
yeah. always was.,ええ そうだったわ
something doesn't fit. we have to go there.,何か変だ 行かないと
girl...,小娘...
"incidentally, they're all",ちなみに あれ全部
"you, jesse and me.",ジェシー 聞きなさい
ayukawa sensei was frightened by the presence of a suspicious individual.,鮎川先生は 不審な人物の影に 怯えていたんです。
because there's someone who is precious to him...,なぜなら 彼は 自分が大切に思ってる人の
and that's how i met kuriyama mirai.,僕と栗山未来は出会った
you should also know about mahoroba.,まほろばの件は 君も よく知っているはずだ
"so, a big question that we're facing now",私達は長年にわたり 大きな問題に直面しています
i see. you wanted to come to this cafe.,そうか この喫茶店に来たかったのか
will your mind was on fire.,...あなたの心はおかしくなってたのよ。 あなたは自分がすることを コントロールできなかった。
why not?,えっ それは駄目だよ! 何で?
can you override the door?,ドアを再プログラミングできるか?
and where most people are strangers to each other,住人は ほとんどが見知らぬ同士で
"well, we believe it's the result",信じられん 週に二回もだぞ
bullshit.,大嘘を
we've been waiting for you.,あんたが来るのを待っていたよ。
carefully.,気を付けて
it brought a lot of attention to all those iranians,基本的人権のために立ち上がり
but you don't know the title?,でも、それがなんてタイトルかわからないってことか
this is urbanspoon. you're in a city. it knows from gps where you're standing.,これはアーバンスプーンといって 街にいるときgpsであなたの現在地を特定します
i spent the night with her.,一夜を過ごしたが
"now, my view of what the current status",さて 火星の生命の可能性について
this is an emergency!,緊急事態です!
an andorian warship... rescued the crew.,アンドリアの戦闘機がクルーを救出した
dreaming of the ideal utopia,你想把它建立在那么多的人的牺牲之上吗
"the moon is just a chip shot away, brother, heh.",ツキが回ってきたぜ
skip... that's your christian name?,スキップ... これが君の洗礼名なのか?
and the best way to do that is with,キャンディをお配りすれば
can you find him?,その男を捕まえられるか?
it's how it has to end.,そうやって終わらせるんだ
"you know, we can fight this thing much faster if we work together.",もっと速く 戦う事ができるわ 一緒にやるなら
"ooooh, 38 and 55 fall out of bounds!",おおっと 38番と55番がコースアウト!
you tried to help her.,彼女を助けようとしたが
"aunt satoko, thank you.",聡子おばちゃん ありがと
come on.,居てくれ
i do what red john tells me to do.,私は レッド・ジョンに 言われたことをするの
"yeah, nearly.",でも 殺されてない
i don't recall edward bates being any too certain about the legality of my proclamation.,ベイツは公布が法的に有効だと 思ってなかったが
what kind of a nerve is a motoric nerve?,運動神経ってドコの神経?
you're the 500th rider today!,あなた様が 本日500人目の 搭乗者で~す
come on. you think you can walk?,立って 歩ける?
i was the fortunate one.,私も幸せだった
